Sharon Claydon,Representative,Newcastle,New South Wales,Australian Labor Party,,Sharon_Claydon,248181
Shayne Neumann,Representative,Blair,Queensland,Australian Labor Party,,Shayne_Neumann,HVO
Simon Birmingham,Senator,,South Australia,Liberal Party of Australia,,Simon_Birmingham,H6X
Simon Crean,Representative,Hotham,Victoria,Australian Labor Party,Life Gold Pass Holder,Simon_Crean,
Skye Kakoschke-Moore,Senator,,South Australia,Nick Xenophon Team,,Skye_Kakoschke-Moore,265982
Stephen Conroy,Senator,,Victoria,Australian Labor Party,Life Gold Pass Holder,Stephen_Conroy,
Stephen Jones,Representative,Whitlam,New South Wales,Australian Labor Party,,Stephen_Jones_(Australian_politician),A9B
Stephen Parry,Senator,,Tasmania,Liberal Party of Australia,,Stephen_Parry_(politician),e5v
Stephen Smith,Representative,Perth,Western Australia,Australian Labor Party,Life Gold Pass Holder,Stephen_Smith_(Australian_politician),
Steve Georganas,Representative,Hindmarsh,South Australia,Australian Labor Party,,Steve_Georganas,DZY
Steve Irons,Representative,Swan,Western Australia,Liberal Party of Australia,,Steve_Irons,HYM
Steven Ciobo,Representative,Moncrieff,Queensland,Liberal Party of Australia,,Steven_Ciobo,00AN0
Stirling Griff,Senator,,South Australia,Nick Xenophon Team,,Stirling_Griff,76760
