"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","4 The Land 3 Oct to 30 Oct 16","","","","14.55","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","24 Central Western Daily 3 Oct to 30 Oct 16","","","","40.00","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","28 The Daily Telegraph 3 Oct to 30 Oct 16","","","","46.91","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","4 Wellington Times 3 Oct to 30 Oct 16","","","","5.09","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","8 Lithgow Mercury 3 Oct to 30 Oct 16","","","","12.36","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","8 Mudgee Guardian and Gulgong Advertiser 3 Oct to 30 Oct 16","","","","12.36","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Publications","From 1 July 2016","","","","24 Western Advocate 3 Oct to 30 Oct 16","","","","37.09","30-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office phones 9 Aug 16","","","","332.13","09-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office fax 9 Aug 16","","","","149.88","09-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office phones 9 Sep 16","","","","388.53","09-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office fax 9 Sep 16","","","","169.32","09-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office phones 9 Oct 16","","","","411.07","09-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office fax 9 Oct 16","","","","165.85","09-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office phones 9 Nov 16","","","","409.12","09-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Telecommunications","Telecommunications - Usage","From 1 July 2016","","","","Office fax 9 Nov 16","","","","154.22","09-Nov-2016"
