"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Sydney","","","146.37","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Sydney","","","72.05","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Sydney","","","115.90","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Melbourne","","","147.41","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Melbourne","","","162.44","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Canberra","","","41.80","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","56.20","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","40.00","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Melbourne","","","146.10","22-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Melbourne","","","178.16","27-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Melbourne","","","144.79","27-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Mar 17 - Melbourne","","","161.13","01-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Mar 17 - Canberra","","","91.70","01-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","2 Mar 17 - Melbourne","","","168.37","02-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","4 Mar 17 - Melbourne","","","141.48","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","4 Mar 17 - Canberra","","","80.40","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","4 Mar 17 - Melbourne","","","139.13","04-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Melbourne","","","150.65","07-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Adelaide","","","41.80","07-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Adelaide","","","153.27","08-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Adelaide","","","70.74","08-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Melbourne","","","168.37","08-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Melbourne","","","171.61","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","102.67","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","50.00","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","78.60","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","42.70","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","42.70","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","40.00","15-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Melbourne","","","142.17","15-Mar-2017","",""
