"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 14 Feb to 13 Mar 17","","","464.50","13-Mar-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 13 Dec 16","","","38.22","13-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 14 Dec 16 to 13 Jan 17","","","464.50","14-Dec-2016","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 25 Jan 17","","","45.08","25-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Jan 17 - Perth","","","55.72","09-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Jan 17 - Melbourne","","","195.88","09-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Jan 17 - Perth","","","40.00","10-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Jan 17 - Perth","","","78.60","14-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Jan 17 - Sydney","","","88.60","14-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Jan 17 - Sydney","","","78.60","14-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Jan 17 - Sydney","","","81.30","14-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Jan 17 - Sydney","","","78.60","15-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Jan 17 - Perth","","","78.60","15-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Sydney","","","68.80","31-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","65.00","31-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","62.88","31-Jan-2017","",""
