"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Dec 16 to 23 Jan 17","","","5.42","24-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution late payment fee Jan 17","","","15.00","01-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","15.36","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 18 Jan 17","","","460.90","18-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","5,000 Personalised letterhead stationery 24 Jan 17","","","1,420.00","24-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","5,000 Printed items 25 Jan 17","","","1,060.00","25-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","10,000 Personalised letterhead stationery 14 Feb 17","","","660.00","14-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","2,000 Personalised letterhead stationery 14 Feb 17","","","720.00","14-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 23 Feb 17","","","915.45","23-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1,000 Printed items 3 Mar 17","","","465.00","03-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 733 rental 1 Apr 17 to 31 Mar 18","","","271.82","01-Apr-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","15,000 Printed items 31 Oct 16","","","4,810.00","31-Oct-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","10,000 Personalised letterhead stationery 31 Oct 16","","","660.00","31-Oct-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","15,000 Printed items 31 Oct 16","","","3,960.00","31-Oct-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","978.32","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","17 The Australian 1 Jan to 31 Jan 17","","","41.73","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","3 Gold Coast Bulletin (Sat) 1 Jan to 31 Jan 17","","","6.00","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","3 The Weekend Australian 1 Jan to 31 Jan 17","","","9.55","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","17 Gold Coast Bulletin 1 Jan to 31 Jan 17","","","21.64","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","1 Orientalism 25 Jan 17","","","11.91","25-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","1 The Fourth Turning: An American Prophecy 25 Jan 17","","","11.30","25-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","20 Gold Coast Bulletin 1 Feb to 28 Feb 17","","","25.45","28-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","20 The Australian 1 Feb to 28 Feb 17","","","54.55","28-Feb-2017","",""
